2010,12,43421.0364
2011,1,469823.9148
2011,2,936158.8178
2011,3,1421357.4772
2011,4,1923431.323
2011,5,2485112.7988
2011,6,3222952.6202
2011,7,3819699.177
2011,8,4434257.112
2011,9,5037340.6096
2011,10,5745548.6128
2011,11,6406094.426
2011,12,7075525.9291
2012,1,495364.1261
2012,2,1002358.3137
2012,3,1375841.3191
2012,4,1776176.9336
2012,5,2135054.8243
2012,6,2690214.9671
2012,7,3134773.1952
2012,8,3658690.5767
2012,9,4144868.0269
2012,10,4680027.5115
2012,11,5217983.0285
2012,12,5842485.1952
2013,1,857689.91
2013,2,1629038.65
2013,3,2678946.04
2013,4,3724968.81
2013,5,5009561.74
2013,6,6652739.52
2013,7,8024415.33
2013,8,9575480.89
2013,9,11022976.58
2013,10,12696269.99
2013,11,14477190.05
2013,12,16351550.34
2014,1,45694.72
